what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_29-b11",1321341687688
java.specification.name,sysinfo,,,"Java Platform API Specification",1321341687688
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1321341687688
java.specification.version,sysinfo,,,"1.6",1321341687688
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1321341687688
java.version,sysinfo,,,"1.6.0_29",1321341687688
java.vm.info,sysinfo,,,"mixed mode",1321341687688
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1321341687688
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1321341687688
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1321341687688
java.vm.specification.version,sysinfo,,,"1.0",1321341687688
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1321341687688
java.vm.version,sysinfo,,,"20.4-b02",1321341687688
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1321341688085
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1321341688224
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1321341688784
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1321341689272
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1321341689341
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1321341689753
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1321341690698
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1321341690882
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1321341691349
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321341691362
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1321341691461
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1321341691647
started,bundle,com.google.gdt.eclipse.designer.hosted,2.3.0.r36x201105061507,"com.google.gdt.eclipse.designer.hosted",1321341692007
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.3.0.r36x201105061512,"com.google.gdt.eclipse.designer.UiBinder",1321341692397
started,bundle,org.eclipse.wb.core.xml,0.9.0.r36x201105061502,"org.eclipse.wb.core.xml",1321341692988
started,bundle,com.google.gdt.eclipse.suite,2.3.1.r36v201105191508,"com.google.gdt.eclipse.suite",1321341696920
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1321341697009
